Crash_ID,Unit_Nbr,Unit_Desc_ID,Veh_Parked_Fl,Veh_HNR_Fl,Veh_Lic_State_ID,VIN,Veh_Mod_Year,Veh_Color_ID,Veh_Make_ID,Veh_Mod_ID,Veh_Body_Styl_ID,Emer_Respndr_Fl,Ownr_Zip,Fin_Resp_Proof_ID,Fin_Resp_Type_ID,Veh_Dmag_Area_1_ID,Veh_Dmag_Scl_1_ID,Force_Dir_1_ID,Veh_Dmag_Area_2_ID,Veh_Dmag_Scl_2_ID,Force_Dir_2_ID,Veh_Inventoried_Fl,Veh_Transp_Name,Veh_Transp_Dest,Veh_Cmv_Fl,Cmv_Fiveton_Fl,Cmv_Hazmat_Fl,Cmv_Nine_Plus_Pass_Fl,Cmv_Veh_Oper_ID,Cmv_Carrier_ID_Type_ID,Cmv_Carrier_Zip,Cmv_Veh_Type_ID,Cmv_GVWR,Cmv_RGVW,Cmv_Hazmat_Rel_Fl,Hazmat_Cls_1_ID,Hazmat_IDNbr_1_ID,Hazmat_Cls_2_ID,Hazmat_IDNbr_2_ID,Cmv_Cargo_Body_ID,Cmv_Evnt1_ID,Cmv_Evnt2_ID,Cmv_Evnt3_ID,Cmv_Evnt4_ID,Cmv_Tot_Axle,Cmv_Tot_Tire,Contrib_Factr_1_ID,Contrib_Factr_2_ID,Contrib_Factr_3_ID,Contrib_Factr_P1_ID,Contrib_Factr_P2_ID,Veh_Dfct_1_ID,Veh_Dfct_2_ID,Veh_Dfct_3_ID,Veh_Dfct_P1_ID,Veh_Dfct_P2_ID,Veh_Trvl_Dir_ID,First_Harm_Evt_Inv_ID,Sus_Serious_Injry_Cnt,Nonincap_Injry_Cnt,Poss_Injry_Cnt,Non_Injry_Cnt,Unkn_Injry_Cnt,Tot_Injry_Cnt,Death_Cnt,Cmv_Disabling_Damage_Fl,Cmv_Bus_Type_ID,Trlr_GVWR,Trlr_RGVW,Trlr_Type_ID,Trlr_Disabling_Dmag_ID,Cmv_Intermodal_Container_Permit_Fl,CMV_Actual_Gross_Weight
17053420,2,1,N,N,43,JM3ER2B50B0374778,2011,11,63,1008,69,N,78681,1,2,6,3,6,,,,N,DRIVEN FROM SCENE,"16815 TOMCAT DRIVE, ROUND ROCK, TX 78681",N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,0,0,1,0,0,1,0,,,,,,,,
17053790,1,1,N,N,43,WDC0G4JB3GF064277,2016,2,65,4887,69,N,78733,1,2,12,2,5,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,37,20,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
17053790,2,1,N,N,43,JA32U2FU0GU012976,2016,2,68,775,104,N,78704,1,2,11,2,8,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7,1,0,0,0,1,0,0,0,,,,,,,,
17054344,1,1,N,N,43,WDBSK71F88F140383,2008,17,65,677,100,N,78750,1,2,2,3,1,,,,N,ARMADA TOWING,ARMADA TOWING,N,,,,,,,,,,,,,,,,,,,,,,37,20,,,,,,,,,1,1,0,0,1,1,0,1,0,,,,,,,,
17054344,2,1,N,N,43,5XXGN4A71DG093506,2013,21,55,715,104,N,77423,1,2,2,3,11,,,,N,620 LAKESIDE TOWING,620 LAKESIDE TOWING,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5,1,0,0,0,1,0,0,0,,,,,,,,
17054347,1,1,N,N,43,NM0LS6BNXDT151187,2013,3,37,101,103,N,,1,1,11,5,,,,,N,AVILES & GABES WRECKER SERVICE INC.,AVILES & GABES WRECKER SERVICE INC.,N,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,2,1,0,0,0,1,0,0,0,,,,,,,,
17054347,2,1,N,N,43,1FMCU02Z08KB66639,2008,16,37,711,69,N,78750,1,1,2,6,12,,,,N,AVILES & GABES WRECKER SERVICE INC.,AVILES & GABES WRECKER SERVICE INC.,N,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,4,1,0,0,0,1,0,0,0,,,,,,,,
17054349,1,1,N,Y,43,1HGEM21902L048586,2002,2,44,256,104,N,78729,2,1,2,3,1,,,,N,HARPERS TOWING SERVICE INC,HARPERS TOWING SERVICE INC,N,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,7,1,0,0,0,1,0,0,0,,,,,,,,
17054349,2,1,N,N,43,KNADM4A33G6540744,2016,2,55,716,104,N,78745,1,1,2,1,1,,,,Y,SPECIAL AUTOMOTIVE SERVICE INC,SPECIAL AUTOMOTIVE SERVICE INC,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1,1,0,0,0,1,0,0,0,,,,,,,,
17054356,1,1,N,N,43,2GTEC13C871635555,2007,9,39,2340,30,N,78732,1,2,1,1,12,,,,N,N/A,N/A,N,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,7,1,0,0,0,1,0,0,0,,,,,,,,
